,date of low,low,number of weeks since drop,original closing price,original date,ticker
647,20160115,7.57,11,12.4,20141031,LRN
648,20160311,9.71,19,9.71,20151030,LRN
649,20150710,3.95,17,10.63,20161028,CLD
650,20150925,2.59,7,5.88,20150313,CLD
651,20160122,1.28,24,2.61,20150807,CLD
653,20160527,1.34,19,1.34,20160115,CLD
654,20150109,2.24,13,5.79,20161118,XIN
655,20150130,2.01,16,2.64,20141010,XIN
656,20150327,2.47,15,2.47,20141212,XIN
657,20131004,9.93,15,9.93,20130621,NOAH
658,20131213,12.2,15,12.2,20130830,NOAH
659,20140124,13.18,9,17.93,20131025,NOAH
660,20140509,12.6,24,20.38,20131122,NOAH
661,20150327,19.67,15,19.67,20141212,NOAH
662,20130301,5.86,1,27.32,20151113,SBGL
663,20130705,2.82,19,5.86,20130222,SBGL
666,20130712,2.98,3,2.98,20130621,SBGL
667,20150814,4.41,23,8.55,20150306,SBGL
668,20151127,5.41,3,5.41,20151106,SBGL
669,20161216,6.61,10,11.32,20161007,SBGL
670,20170526,5.52,1,9.44,20161111,SBGL
671,20170929,4.46,19,5.51,20170519,SBGL
672,20151009,33.96,1,37.45,20130315,TISI
673,20160205,22.9,18,33.31,20151002,TISI
674,20170818,10.75,23,26.3,20170310,TISI
676,20170901,10.8,3,10.8,20170811,TISI
677,20151113,56.94,14,100.38,20150807,MNK
678,20160318,54.62,25,68.45,20150925,MNK
681,20171117,22.38,1,54.59,20161118,MNK
682,20180209,16.02,13,21.76,20171110,MNK
683,20130412,22.21,11,22.21,20130125,ELLI
684,20140411,24.0,23,24.03,20131101,ELLI
685,20160226,6.0,3,90.69,20170728,PZN
686,20160422,6.35,11,6.35,20160205,PZN
687,20160617,25.99,16,40.43,20160226,RH
688,20160812,26.56,9,26.56,20160610,RH
689,20170804,42.54,9,42.54,20170602,RH
690,20151113,16.88,7,56.92,20170804,DYN
691,20160219,7.81,21,20.67,20150925,DYN
693,20161202,7.74,4,8.45,20160212,DYN
694,20170421,6.38,24,8.31,20161104,DYN
696,20160115,6.6,21,8.31,20150821,ANW
697,20170526,5.1,23,10.15,20161216,ANW
698,20171110,3.75,24,5.1,20170526,ANW
699,20160401,16.87,11,17.63,20160115,EEQ
700,20160212,13.51,4,20.37,20170127,HMLP
701,20160318,13.58,9,13.58,20160115,HMLP
702,20160826,19.95,9,19.95,20160624,BBU
703,20130927,3.39,4,32.04,20131213,HCHC
704,20131213,2.7,15,4.02,20130830,HCHC
705,20160205,3.49,4,6.92,20150724,HCHC
706,20160408,3.4,13,4.28,20160108,HCHC
707,20171013,5.03,9,5.03,20170811,HCHC
708,20150130,21.76,9,21.76,20141128,RSPP
709,20130830,57.77,15,62.04,20130517,CL
710,20160708,209.7,21,214.6,20160212,JHG
711,20130830,8.71,6,218.0,20160624,SRC
712,20170526,7.2,3,9.6,20130719,SRC
713,20170707,7.51,9,7.51,20170505,SRC
714,20170324,35.14,21,40.03,20161028,INT
