,Close,Date,Open,Ticker,Volume
465,6.81,20091023,7.82,PQ,9929000
464,6.13,20091030,6.9,PQ,11046100
463,5.44,20100129,6.24,PQ,7934000
462,4.95,20100319,6.18,PQ,12750300
461,7.5,20100625,8.53,PQ,9058400
460,6.42,20100702,7.38,PQ,5444600
459,5.46,20100813,6.19,PQ,4449700
458,7.75,20110506,8.78,PQ,8227500
457,6.57,20110819,7.74,PQ,6920700
456,5.9,20110923,7.3,PQ,7022900
455,5.82,20111125,6.54,PQ,2407500
454,6.09,20120113,7.1,PQ,5497900
453,5.23,20120504,5.97,PQ,5105400
452,4.59,20120518,5.21,PQ,4936600
451,5.2,20121109,5.83,PQ,3682800
450,4.53,20130208,5.04,PQ,2796000
449,4.18,20130621,4.75,PQ,2563300
448,4.5,20141010,5.3,PQ,5263371
447,4.01,20141107,4.77,PQ,8310273
446,3.72,20141128,4.38,PQ,3026692
445,2.02,20150313,2.79,PQ,8020606
444,2.34,20150508,2.67,PQ,2823714
443,2.07,20150515,2.34,PQ,3782485
442,1.44,20150724,1.6,PQ,4518169
441,1.21,20150807,1.38,PQ,1646087
440,1.22,20150925,1.39,PQ,583517
439,1.31,20151016,1.46,PQ,1092966
438,1.12,20151030,1.27,PQ,1437300
437,1.06,20151113,1.18,PQ,738647
436,0.8262,20151120,1.06,PQ,1468077
435,0.57,20151204,0.76,PQ,2393014
434,0.33,20151218,0.5208,PQ,2996730
433,0.3701,20160108,0.479,PQ,1627426
432,0.4941,20160219,0.55,PQ,332294
431,0.45,20160226,0.515,PQ,1625901
430,0.53,20160324,0.62,PQ,820970
429,0.7911,20160429,0.9,PQ,1327618
428,2.0,20160805,3.2,PQ,1222624
427,1.77,20160812,2.02,PQ,648266
426,3.78,20161028,4.26,PQ,487489
425,2.88,20161104,3.75,PQ,780719
424,3.84,20161216,4.45,PQ,529439
423,3.88,20170224,4.6,PQ,766035
422,3.06,20170310,4.0,PQ,1585683
421,1.77,20170623,2.2,PQ,470594
420,1.89,20170804,2.24,PQ,343179
419,1.68,20171020,1.92,PQ,485045
418,20.12,20141128,22.86,ENBL,876995
417,17.4,20141212,21.0,ENBL,4025177
416,12.66,20150925,14.39,ENBL,822467
415,7.63,20151211,8.74,ENBL,1744472
414,6.6,20151218,7.5,ENBL,2613852
413,7.75,20160108,9.26,ENBL,1691894
412,5.98,20160212,6.85,ENBL,2788542
411,14.19,20160610,16.03,ENBL,3006212
410,14.73,20161125,16.4,ENBL,4978885
409,41.41,20040408,46.59,REG,1712000
408,63.72,20070727,70.82,REG,2833000
407,55.75,20081003,64.89,REG,5188400
406,41.63,20081017,52.01,REG,9760900
405,32.88,20081024,41.75,REG,11497600
404,32.71,20081114,37.75,REG,9532000
403,27.03,20081121,31.07,REG,13471100
402,29.27,20090213,34.1,REG,11989600
401,22.02,20090306,25.99,REG,15052800
400,24.93,20090320,28.59,REG,16102100
399,30.85,20090515,35.78,REG,12929500
398,36.28,20090925,40.38,REG,11000200
397,33.25,20100702,37.09,REG,5486200
396,37.63,20110805,45.44,REG,8136400
395,18.5,20010629,20.99,WPC,245800
394,29.02,20030801,33.15,WPC,693900
393,18.86,20081010,24.0,WPC,606928
392,20.2,20081024,23.23,WPC,520152
391,10.04,20021004,11.55,GTN,123800
390,8.59,20021011,10.04,GTN,228400
389,10.56,20030926,12.35,GTN,1930000
388,11.2,20050819,13.15,GTN,2279000
387,6.53,20080208,7.42,GTN,895400
386,5.64,20080222,6.27,GTN,1242400
385,4.96,20080307,5.81,GTN,3653500
384,5.05,20080411,5.7,GTN,787900
383,3.95,20080509,4.45,GTN,1318800
382,2.49,20080711,2.9,GTN,1090800
381,2.34,20080801,2.79,GTN,1231600
380,2.12,20080905,2.52,GTN,658200
379,1.85,20080912,2.2,GTN,934500
378,1.35,20081003,1.8,GTN,872600
377,0.74,20081010,1.24,GTN,1927600
376,0.5,20081017,0.6,GTN,1117800
375,0.48,20081024,0.61,GTN,1100200
374,0.19,20081114,0.4501,GTN,8250400
373,0.43,20081205,0.57,GTN,1332000
372,0.37,20090123,0.461,GTN,742700
371,0.33,20090130,0.42,GTN,562000
370,0.36,20090220,0.46,GTN,399700
369,0.4,20090327,0.47,GTN,547100
368,0.82,20090508,0.92,GTN,2060000
367,0.75,20090515,0.85,GTN,2090500
366,0.66,20090522,0.76,GTN,1320400
365,0.48,20090626,0.705,GTN,4752900
364,0.42,20090710,0.5,GTN,605200
363,0.38,20090717,0.44,GTN,721700
